target_date,generated_at,section,status,detail,next_action,auto_apply,production_change
2026-06-10,2026-06-10T19:17:41+01:00,date_coherence_guard,OK,board_status=daily_board_md=OK; daily_board_csv=OK; mismatch_count=0; missing_core_count=0; trigger_date_counts=2026-06-10=2,All dated artifacts/triggers reviewed by guard are coherent.,NO,NO
2026-06-10,2026-06-10T19:17:41+01:00,upstream_board_input_diagnostic,UPSTREAM_MISSING,first_empty_required_component=context_matrix; forecast_rows=2; translator_rows=2; board_rows=2,Build missing required upstream component first: context_matrix.,NO,NO
2026-06-10,2026-06-10T19:17:41+01:00,real_shortlist_recovery_diagnostic,REAL_CANDIDATES_AVAILABLE,root_cause=real shortlist or bets rows exist; root_scored_same_day_rows=1; real_shortlist_rows=2; real_bet_rows=1; proxy_rows=0,Use normal gates; do not rely on proxy bridge unless real rows fail downstream.,NO,NO
2026-06-10,2026-06-10T19:17:41+01:00,local_raw_fixture_discovery,LOCAL_RAW_CANDIDATES_FOUND,files_scanned=1625; accepted_rows=122; rejected_rows=668,"Review accepted rows, then feed normal scoring gates.",NO,NO
2026-06-10,2026-06-10T19:17:44+01:00,raw_candidate_trust_gate,TRUSTED_RAW_SOURCE=95; QUARANTINE_REVIEW=27,rows_reviewed=122; trusted_rows=95; blocked_rows=0; quarantine_rows=27,Only TRUSTED_RAW_SOURCE rows may be considered for scoring; quarantine/rejected rows remain diagnostic only.,NO,NO
2026-06-10,2026-06-10T19:17:44+01:00,trusted_raw_candidate_promotion_gate,TRUSTED_SOURCE_BUT_NO_SCORED_ROW=94; NOT_TRUSTED_NO_PROMOTION=27; PROMOTED_TO_SCORING_INPUT=1,rows_reviewed=122; promoted_rows=1; blocked_rows=0; quarantine_rows=94,Promoted rows may feed normal scoring gates only.,NO,NO
2026-06-10,2026-06-10T19:17:44+01:00,scoring_gap_explainer,MISSING_SCORED_ROW=94; NOT_TRUSTED_SKIPPED=27; PROMOTED=1,missing_scored_rows=94; no_data_blocked_rows=0; not_trusted_rows=27; promoted_rows=1,Repair scoring/enrichment for trusted raw candidates; no market discussion until rows are scored and non-blocked.,NO,NO
2026-06-10,2026-06-10T19:17:44+01:00,trusted_raw_scoring_queue,P1_TRUSTED_MISSING_SCORING=80; P2_LOW_COVERAGE_SCORING=14,queue_rows=94; priority_counts=P1_TRUSTED_MISSING_SCORING=80; P2_LOW_COVERAGE_SCORING=14; scoring_needed_counts=YES=94,Use this queue as the explicit input list for a future scoring/enrichment repair stage. Do not create picks from queue rows.,NO,NO
2026-06-10,2026-06-10T19:17:44+01:00,queue_to_enrichment_dry_run,DRY_RUN_ONLY_NO_API_CALLS=94,rows_planned=94; risk_label_counts=MEDIUM=60; HIGH_CONTEXT_VOLATILITY=20; HIGH_LOW_COVERAGE=14; estimated_units=480; api_calls_executed=NO,Review dry-run plan and explicitly approve any future enrichment/API stage. No calls executed here.,NO,NO
2026-06-10,2026-06-10T19:17:44+01:00,enrichment_cost_approval_gate,WAIT_FOR_MANUAL_APPROVAL,estimated_call_units=480; approval_required=YES; api_calls_allowed=NO; api_calls_executed=NO,UNKNOWN,NO,NO
2026-06-10,2026-06-10T19:17:44+01:00,daily_board_self_heal,NO_ACTION,promoted_rows=0; board_rows_written=0; reason=daily board already has rows,UNKNOWN,NO,NO
