target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_status,result_status,home_goals,away_goals,actual_result,prediction_winner,predicted_side,candidate_signal_score,candidate_signal_band,review_priority,market_signal_summary,api_1x2_result,api_double_chance_result,api_dnb_result,over_1_5_result,over_2_5_result,under_3_5_result,btts_result,accuracy_bucket,evaluation_note,canonical_board_permission,pick_permission,stake_permission,auto_apply,production_change
2026-06-10,2026-06-14T16:29:34+01:00,1550040,Amawele,Madlenya,Premier League,Eswatini,FT,FINISHED_RESULT,0,1,AWAY,Amawele,HOME,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Amawele | pred_total_home_away=80.0/20.0,MISS,MISS,MISS,MISS,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1550041,Viva Stumbo,Magwanyana,Premier League,Eswatini,FT,FINISHED_RESULT,0,1,AWAY,Viva Stumbo,HOME,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Viva Stumbo | pred_total_home_away=67.0/33.0,MISS,MISS,MISS,MISS,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1495293,Dynamos,Hunters,Premier Soccer League,Zimbabwe,FT,FINISHED_RESULT,2,2,DRAW,Dynamos,HOME,65,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Dynamos | pred_total_home_away=63.5/36.8,MISS,HIT,VOID,HIT,HIT,MISS,HIT,PARTIAL_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1495299,Kariba,Herentals,Premier Soccer League,Zimbabwe,FT,FINISHED_RESULT,0,0,DRAW,Herentals,AWAY,57,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Herentals | pred_total_home_away=39.2/60.8,MISS,HIT,VOID,MISS,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1495296,Platinum,Hardrock,Premier Soccer League,Zimbabwe,FT,FINISHED_RESULT,0,0,DRAW,Hardrock,AWAY,59,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Hardrock | pred_total_home_away=38.5/61.5,MISS,HIT,VOID,MISS,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1495298,Simba Bhora,Ngezi Platinum,Premier Soccer League,Zimbabwe,FT,FINISHED_RESULT,1,0,HOME,Ngezi Platinum,AWAY,63,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Ngezi Platinum | pred_total_home_away=37.2/62.8,MISS,MISS,MISS,MISS,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1550666,Afrique Football Élite,ASKO,Première Division,Mali,FT,FINISHED_RESULT,5,3,HOME,ASKO,AWAY,100,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=ASKO | pred_total_home_away=31.7/68.3 | 1x2=1.80/3.45/3.70 | ou2.5=1.85/1.73,MISS,MISS,MISS,HIT,HIT,MISS,HIT,PARTIAL_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1550667,Onze Créateurs,Bakaridjan,Première Division,Mali,FT,FINISHED_RESULT,0,0,DRAW,Onze Créateurs,HOME,75,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=Onze Créateurs | pred_total_home_away=60.2/39.8 | 1x2=2.75/2.33/3.10,MISS,HIT,VOID,MISS,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1531060,Shortan,Gazalkent,Pro League A,Uzbekistan,FT,FINISHED_RESULT,0,2,AWAY,Shortan,HOME,92,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=Shortan | pred_total_home_away=62.5/37.5 | 1x2=1.91/3.30/3.40 | ou2.5=1.75/1.85,MISS,MISS,MISS,HIT,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1524029,WDSC Wolves,Eastern Suburbs,Queensland NPL,Australia,NS,PENDING_RESULT,,,UNKNOWN,Eastern Suburbs,AWAY,100,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=Eastern Suburbs | pred_total_home_away=33.8/66.2 | 1x2=2.90/3.80/2.05 | ou2.5=1.38/2.85,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1497597,Orebro SK,GIF Sundsvall,Superettan,Sweden,FT,FINISHED_RESULT,0,1,AWAY,Orebro SK,HOME,58,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Orebro SK | pred_total_home_away=48.8/51.4 | 1x2=1.95/3.40/3.75 | ou2.5=1.95/1.85,MISS,MISS,MISS,MISS,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1497600,Varbergs BoIS FC,Norrby IF,Superettan,Sweden,FT,FINISHED_RESULT,2,0,HOME,Varbergs BoIS FC,HOME,100,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=Varbergs BoIS FC | pred_total_home_away=67.7/32.3 | 1x2=1.64/3.90/5.00 | ou2.5=1.70/2.15,HIT,HIT,HIT,HIT,MISS,HIT,MISS,STRONG_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1550668,Excelsior Maassluis,Ijsselmeervogels,Tweede Divisie,Netherlands,FT,FINISHED_RESULT,2,1,HOME,Ijsselmeervogels,AWAY,66,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Ijsselmeervogels | pred_total_home_away=46.3/53.7 | 1x2=2.10/3.35/2.90 | ou2.5=1.60/2.05,MISS,MISS,MISS,HIT,HIT,HIT,HIT,PARTIAL_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1550634,Pirmasens,VfR Mannheim,Oberliga - Promotion Round,Germany,FT,FINISHED_RESULT,0,1,AWAY,VfR Mannheim,AWAY,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=VfR Mannheim | pred_total_home_away=20.0/80.0,HIT,HIT,HIT,MISS,MISS,HIT,MISS,PARTIAL_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
