fixture_id,player_id,player_name,team,team_id,position,referee_name,probability_card_original,probability_card_adjusted,adjustment_direction,abs_adjustment,label_card,confidence,data_quality
1489409,36970,S. Floranus,Curaçao,5530,DEF,"Glenn Nyberg, Sweden",0.2244,0.2278,neutro,0.0034,0,media-baja,baja
1489409,37066,R. van Eijma,Curaçao,5530,DEF,"Glenn Nyberg, Sweden",0.1435,0.1457,neutro,0.0022,0,media-baja,baja
1489409,18997,L. Bacuna,Curaçao,5530,MID,"Glenn Nyberg, Sweden",0.1454,0.152,subir,0.0066,0,media-baja,baja
1489409,1807,E. Ndicka,Ivory Coast,1501,DEF,"Glenn Nyberg, Sweden",0.2399,0.2352,neutro,0.0047,0,media-baja,baja
1489409,1642,F. Kessié,Ivory Coast,1501,MID,"Glenn Nyberg, Sweden",0.1261,0.123,bajar,0.0031,0,media-baja,media
1489409,354753,O. Diomande,Ivory Coast,1501,DEF,"Glenn Nyberg, Sweden",0.1398,0.137,neutro,0.0028,0,media-baja,baja
1489409,135068,E. Agbadou,Ivory Coast,1501,DEF,"Glenn Nyberg, Sweden",0.1634,0.1602,neutro,0.0032,0,media-baja,baja
1489409,22002,G. Konan,Ivory Coast,1501,DEF,"Glenn Nyberg, Sweden",0.0548,0.0529,bajar,0.0019,0,media-baja,baja
1489409,334429,O. Diakité,Ivory Coast,1501,FWD,"Glenn Nyberg, Sweden",0.3959,0.3762,bajar,0.0197,0,media-baja,baja
1489409,64190,Y. Fofana,Ivory Coast,1501,GK,"Glenn Nyberg, Sweden",0.0485,0.0475,neutro,0.001,0,baja,baja
1489409,30807,S. Fofana,Ivory Coast,1501,MID,"Glenn Nyberg, Sweden",0.0573,0.0579,neutro,0.0006,0,media-baja,baja
1489409,137303,E. Guessand,Ivory Coast,1501,FWD,"Glenn Nyberg, Sweden",0.0585,0.0556,bajar,0.0029,0,media-baja,baja
1489409,161747,G. Doué,Ivory Coast,1501,DEF,"Glenn Nyberg, Sweden",0.0535,0.0524,neutro,0.0011,0,media-baja,baja
1489409,22149,I. Sangaré,Ivory Coast,1501,MID,"Glenn Nyberg, Sweden",0.3798,0.378,neutro,0.0018,0,media-baja,baja
1539012,1640,H. Çalhanoğlu,Türkiye,777,MID,M. Ghorbal,0.1601,0.1617,neutro,0.0016,0,media-baja,baja
1539012,61837,A. Bardakcı,Türkiye,777,DEF,M. Ghorbal,0.2451,0.2366,bajar,0.0085,0,media-baja,baja
1539012,291964,A. Güler,Türkiye,777,FWD,M. Ghorbal,0.1577,0.1475,bajar,0.0102,0,media-baja,baja
1539012,142959,K. Aktürkoğlu,Türkiye,777,FWD,M. Ghorbal,0.2084,0.1949,bajar,0.0135,0,media-baja,baja
1539012,339883,K. Yıldız,Türkiye,777,FWD,M. Ghorbal,0.1506,0.1408,bajar,0.0098,0,media-baja,baja
1539012,49866,U. Çakır,Türkiye,777,GK,M. Ghorbal,0.121,0.1186,neutro,0.0024,0,baja,baja
1539012,30521,M. Demiral,Türkiye,777,DEF,M. Ghorbal,0.1913,0.1875,neutro,0.0038,0,media-baja,baja
1539012,37155,O. Kökçü,Türkiye,777,MID,M. Ghorbal,0.23,0.2289,neutro,0.0011,0,media-baja,baja
1539012,1719,M. Müldür,Türkiye,777,DEF,M. Ghorbal,0.1095,0.1073,neutro,0.0022,0,media-baja,baja
1539012,63274,B. Yılmaz,Türkiye,777,FWD,M. Ghorbal,0.2334,0.2183,bajar,0.0151,0,media-baja,baja
1539012,49837,M. Günok,Türkiye,777,GK,M. Ghorbal,0.0827,0.0811,neutro,0.0016,0,baja,baja
1539012,19023,T. Ream,USA,2384,DEF,M. Ghorbal,0.0266,0.0265,neutro,0.0001,0,media-baja,baja
1539012,126949,C. Richards,USA,2384,DEF,M. Ghorbal,0.4212,0.4203,neutro,0.0009,0,media-baja,baja
1539012,17,C. Pulišić,USA,2384,FWD,M. Ghorbal,0.146,0.1362,bajar,0.0098,0,media-baja,media
1539012,50999,M. Turner,USA,2384,GK,M. Ghorbal,0.1419,0.1416,neutro,0.0003,0,baja,baja
1539012,50852,J. Scally,USA,2384,DEF,M. Ghorbal,0.1457,0.1432,neutro,0.0025,0,media-baja,baja
1539012,415,W. McKennie,USA,2384,MID,M. Ghorbal,0.2833,0.2912,subir,0.0079,0,media-baja,media
1539012,50728,M. Freese,USA,2384,GK,M. Ghorbal,0.0453,0.0452,neutro,0.0001,0,baja,baja
1539012,362400,M. Arfsten,USA,2384,MID,M. Ghorbal,0.0472,0.0485,subir,0.0013,0,media-baja,baja
1539012,162037,M. Tillman,USA,2384,MID,M. Ghorbal,0.0389,0.0413,subir,0.0024,0,media-baja,media
1539012,1138,T. Weah,USA,2384,FWD,M. Ghorbal,0.193,0.1839,bajar,0.0091,0,media-baja,baja
1539012,19549,A. Robinson,USA,2384,DEF,M. Ghorbal,0.3099,0.3046,neutro,0.0053,0,media-baja,baja
1489411,2507,M. Almirón,Paraguay,2380,MID,C. Turpin,0.1715,0.1766,subir,0.0051,0,media-baja,media
1489411,6168,O. Alderete,Paraguay,2380,DEF,C. Turpin,0.1683,0.1624,bajar,0.0059,0,media-baja,media
1489411,35808,G. Velázquez,Paraguay,2380,DEF,C. Turpin,0.1836,0.1836,neutro,0.0,0,media-baja,media
1489411,70747,J. Enciso,Paraguay,2380,FWD,C. Turpin,0.0604,0.0565,bajar,0.0039,0,media-baja,media
1489411,2499,J. Alonso,Paraguay,2380,DEF,C. Turpin,0.1991,0.1961,neutro,0.003,0,media-baja,media
1489411,2500,F. Balbuena,Paraguay,2380,DEF,C. Turpin,0.1998,0.1998,neutro,0.0,0,media-baja,media
1489411,195107,D. Bobadilla,Paraguay,2380,MID,C. Turpin,0.183,0.1857,neutro,0.0027,0,media-baja,media
1489411,6236,A. Cubas,Paraguay,2380,MID,C. Turpin,0.3368,0.3469,subir,0.0101,0,media-baja,media
1489411,2502,G. Gómez,Paraguay,2380,DEF,C. Turpin,0.0777,0.0765,neutro,0.0012,0,media-baja,media
1489411,278370,D. Gómez,Paraguay,2380,MID,C. Turpin,0.0948,0.101,subir,0.0062,1,media-baja,media
1489411,196298,R. Sosa,Paraguay,2380,FWD,C. Turpin,0.2128,0.2064,bajar,0.0064,0,media-baja,media
1489411,312459,N. Velupillay,Australia,20,FWD,C. Turpin,0.0487,0.0464,bajar,0.0023,0,media-baja,media
1489411,6904,C. Metcalfe,Australia,20,FWD,C. Turpin,0.1878,0.1761,bajar,0.0117,0,media-baja,media
1489411,20457,C. Burgess,Australia,20,DEF,C. Turpin,0.0659,0.0647,neutro,0.0012,0,media-baja,media
1489411,7050,A. O&apos;Neill,Australia,20,MID,C. Turpin,0.2718,0.2711,neutro,0.0007,0,media-baja,media
1489411,2742,M. Degenek,Australia,20,DEF,C. Turpin,0.0755,0.0742,neutro,0.0013,0,media-baja,media
1489411,6870,P. Izzo,Australia,20,GK,C. Turpin,0.0862,0.0847,neutro,0.0015,0,media-baja,baja
1489411,348568,A. Circati,Australia,20,DEF,C. Turpin,0.0866,0.0851,neutro,0.0015,0,media-baja,media
1489411,198352,M. Touré,Australia,20,FWD,C. Turpin,0.228,0.2172,bajar,0.0108,0,media-baja,media
1489411,337587,J. Bos,Australia,20,MID,C. Turpin,0.0909,0.0907,neutro,0.0002,0,media-baja,media
1489411,338014,N. Irankunda,Australia,20,FWD,C. Turpin,0.3654,0.3353,bajar,0.0301,0,media-baja,media
1489411,33847,J. Geria,Australia,20,DEF,C. Turpin,0.3321,0.3263,neutro,0.0058,0,media-baja,media
1539011,199578,Z. Suzuki,Japan,12,GK,"Iván Barton, El Salvador",0.0694,0.0679,bajar,0.0015,0,media-baja,baja
1539011,33165,A. Seko,Japan,12,DEF,"Iván Barton, El Salvador",0.0805,0.0776,bajar,0.0029,0,media-baja,media
1539011,38114,K. Itakura,Japan,12,DEF,"Iván Barton, El Salvador",0.2412,0.2325,bajar,0.0087,0,media-baja,media
1539011,32893,H. Ito,Japan,12,DEF,"Iván Barton, El Salvador",0.1389,0.136,bajar,0.0029,0,media-baja,media
1539011,32887,Y. Sugawara,Japan,12,DEF,"Iván Barton, El Salvador",0.2833,0.2774,bajar,0.0059,0,media-baja,media
1539011,2601,D. Kamada,Japan,12,MID,"Iván Barton, El Salvador",0.0827,0.0863,subir,0.0036,0,media-baja,media
1539011,32966,A. Tanaka,Japan,12,MID,"Iván Barton, El Salvador",0.203,0.2048,neutro,0.0018,0,media-baja,media
1539011,33321,Keito Nakamura,Japan,12,MID,"Iván Barton, El Salvador",0.0778,0.0758,bajar,0.002,0,media-baja,media
1539011,2598,R. Dōan,Japan,12,MID,"Iván Barton, El Salvador",0.1587,0.1546,bajar,0.0041,0,media-baja,media
1539011,72155,A. Ueda,Japan,12,FWD,"Iván Barton, El Salvador",0.0805,0.0736,bajar,0.0069,0,media-baja,media
1539011,33224,D. Maeda,Japan,12,FWD,"Iván Barton, El Salvador",0.1084,0.0991,bajar,0.0093,0,media-baja,media
1539011,48033,J. Widell Zetterström,Sweden,5,GK,"Iván Barton, El Salvador",0.1502,0.147,bajar,0.0032,0,media-baja,baja
1539011,137721,G. Lagerbielke,Sweden,5,DEF,"Iván Barton, El Salvador",0.1776,0.1739,bajar,0.0037,0,media-baja,media
1539011,137976,I. Hien,Sweden,5,DEF,"Iván Barton, El Salvador",0.2699,0.2642,bajar,0.0057,1,media-baja,media
1539011,889,V. Lindelöf,Sweden,5,DEF,"Iván Barton, El Salvador",0.0353,0.034,bajar,0.0013,0,media-baja,media
1539011,47696,A. Bernhardsson,Sweden,5,FWD,"Iván Barton, El Salvador",0.1805,0.165,bajar,0.0155,0,media-baja,media
1539011,226765,E. Stroud,Sweden,5,MID,"Iván Barton, El Salvador",0.1336,0.1301,bajar,0.0035,0,media-baja,media
1539011,265820,Y. Ayari,Sweden,5,MID,"Iván Barton, El Salvador",0.1537,0.1605,subir,0.0068,0,media-baja,media
1539011,47969,G. Gudmundsson,Sweden,5,DEF,"Iván Barton, El Salvador",0.1466,0.1487,neutro,0.0021,0,media-baja,media
1539011,153430,A. Elanga,Sweden,5,MID,"Iván Barton, El Salvador",0.0333,0.0324,bajar,0.0009,0,media-baja,media
1539011,18979,V. Gyökeres,Sweden,5,FWD,"Iván Barton, El Salvador",0.07,0.0664,bajar,0.0036,1,media-baja,media
1539011,2864,A. Isak,Sweden,5,FWD,"Iván Barton, El Salvador",0.1789,0.1671,bajar,0.0118,0,media-baja,media
1489412,49424,A. Dahmen,Tunisia,28,GK,"Katia García, Mexico",0.0448,0.0439,neutro,0.0009,0,baja,baja
1489412,18942,Y. Valery,Tunisia,28,DEF,"Katia García, Mexico",0.2156,0.2113,neutro,0.0043,0,media-baja,baja
1489412,50030,M. Talbi,Tunisia,28,DEF,"Katia García, Mexico",0.0446,0.0437,neutro,0.0009,0,media-baja,baja
1489412,49583,A. Abdi,Tunisia,28,DEF,"Katia García, Mexico",0.2202,0.2125,bajar,0.0077,0,media-baja,baja
1489412,135059,A. Ben Hmida,Tunisia,28,DEF,"Katia García, Mexico",0.3656,0.3529,bajar,0.0127,0,media-baja,baja
1489412,21587,E. Skhiri,Tunisia,28,DEF,"Katia García, Mexico",0.0466,0.044,bajar,0.0026,0,media-baja,media
1489412,25300,R. Khedira,Tunisia,28,MID,"Katia García, Mexico",0.1584,0.1576,neutro,0.0008,0,media-baja,baja
1489412,199310,A. Ben Slimane,Tunisia,28,MID,"Katia García, Mexico",0.1259,0.1253,neutro,0.0006,0,media-baja,baja
1489412,180560,H. Mejbri,Tunisia,28,MID,"Katia García, Mexico",0.322,0.3253,neutro,0.0033,0,media-baja,baja
1489412,310196,Ismaël Gharbi,Tunisia,28,MID,"Katia García, Mexico",0.0912,0.0908,neutro,0.0004,0,media-baja,baja
1489412,344862,H. Mastouri,Tunisia,28,FWD,"Katia García, Mexico",0.0561,0.0525,bajar,0.0036,0,media-baja,baja
1489412,129058,B. Verbruggen,Netherlands,1118,GK,"Katia García, Mexico",0.0207,0.0203,neutro,0.0004,0,baja,baja
1489412,226,D. Dumfries,Netherlands,1118,MID,"Katia García, Mexico",0.1922,0.1942,neutro,0.002,0,media-baja,baja
1489412,38695,J. van Hecke,Netherlands,1118,DEF,"Katia García, Mexico",0.3969,0.3831,bajar,0.0138,0,media-baja,baja
1489412,290,V. van Dijk,Netherlands,1118,DEF,"Katia García, Mexico",0.3227,0.3163,neutro,0.0064,0,media-baja,baja
1489412,18861,N. Aké,Netherlands,1118,DEF,"Katia García, Mexico",0.1545,0.1491,bajar,0.0054,0,media-baja,baja
1489412,542,R. Gravenberch,Netherlands,1118,MID,"Katia García, Mexico",0.0373,0.0371,neutro,0.0002,0,media-baja,baja
1489412,538,F. de Jong,Netherlands,1118,MID,"Katia García, Mexico",0.0427,0.0416,bajar,0.0011,0,media-baja,media
1489412,36902,T. Reijnders,Netherlands,1118,MID,"Katia García, Mexico",0.175,0.1707,bajar,0.0043,0,media-baja,media
1489412,249,D. Malen,Netherlands,1118,FWD,"Katia García, Mexico",0.166,0.1519,bajar,0.0141,0,media-baja,media
1489412,38750,B. Brobbey,Netherlands,1118,FWD,"Katia García, Mexico",0.0767,0.0702,bajar,0.0065,0,media-baja,media
1489412,247,C. Gakpo,Netherlands,1118,FWD,"Katia García, Mexico",0.0972,0.089,bajar,0.0082,0,media-baja,media
1539074,119853,M. Diaw,Senegal,13,GK,"Anthony Taylor, England",0.1363,0.1363,neutro,0.0,0,media-baja,baja
1539074,81,K. Diatta,Senegal,13,DEF,"Anthony Taylor, England",0.2115,0.2115,neutro,0.0,0,media-baja,media
1539074,8450,A. Seck,Senegal,13,DEF,"Anthony Taylor, England",0.1873,0.1873,neutro,0.0,1,media-baja,media
1539074,25916,M. Niakhaté,Senegal,13,DEF,"Anthony Taylor, England",0.0386,0.0386,neutro,0.0,0,media-baja,media
1539074,158121,I. Jakobs,Senegal,13,DEF,"Anthony Taylor, England",0.2402,0.2366,neutro,0.0036,0,media-baja,media
1539074,2990,I. Gueye,Senegal,13,MID,"Anthony Taylor, England",0.1033,0.1048,neutro,0.0015,0,media-baja,media
1539074,327631,H. Diarra,Senegal,13,MID,"Anthony Taylor, England",0.3163,0.3147,neutro,0.0016,0,media-baja,media
1539074,446249,I. Mbaye,Senegal,13,FWD,"Anthony Taylor, England",0.3168,0.3025,bajar,0.0143,0,media-baja,media
1539074,374058,L. Camara,Senegal,13,MID,"Anthony Taylor, England",0.2465,0.2539,subir,0.0074,0,media-baja,media
1539074,304,S. Mané,Senegal,13,FWD,"Anthony Taylor, England",0.0997,0.0952,bajar,0.0045,0,media-baja,media
1539074,2218,I. Sarr,Senegal,13,FWD,"Anthony Taylor, England",0.1315,0.123,bajar,0.0085,0,media-baja,media
1539074,197933,Ahmed Basil,Iraq,1567,GK,"Anthony Taylor, England",0.1443,0.1447,neutro,0.0004,0,media-baja,baja
1539074,15769,Frans Putros,Iraq,1567,DEF,"Anthony Taylor, England",0.3646,0.371,neutro,0.0064,0,media-baja,media
1539074,453073,Akam Hashim,Iraq,1567,DEF,"Anthony Taylor, England",0.1443,0.1468,neutro,0.0025,0,media-baja,media
1539074,42261,Rebin Solaka,Iraq,1567,DEF,"Anthony Taylor, England",0.1155,0.1175,neutro,0.002,1,media-baja,media
1539074,271444,Merchas Doski,Iraq,1567,DEF,"Anthony Taylor, England",0.11,0.1119,neutro,0.0019,1,media-baja,media
1539074,47792,Amir Al Ammari,Iraq,1567,MID,"Anthony Taylor, England",0.4309,0.4664,subir,0.0355,1,media-baja,media
1539074,542644,A. Jasim,Iraq,1567,MID,"Anthony Taylor, England",0.1443,0.149,subir,0.0047,0,media-baja,media
1539074,140747,Ibraheem Bayesh,Iraq,1567,MID,"Anthony Taylor, England",0.1492,0.154,subir,0.0048,0,media-baja,media
1539074,284295,Zidane Iqbal,Iraq,1567,MID,"Anthony Taylor, England",0.102,0.1053,subir,0.0033,0,media-baja,media
1539074,229112,A. Qasem,Iraq,1567,MID,"Anthony Taylor, England",0.1443,0.149,subir,0.0047,0,media-baja,media
1539074,299813,Ali Al Hamadi,Iraq,1567,FWD,"Anthony Taylor, England",0.1443,0.1403,bajar,0.004,0,media-baja,media
1489416,39082,E. Selvik,Norway,1090,GK,"Michael Oliver, England",0.0638,0.0619,bajar,0.0019,0,media-baja,baja
1489416,39043,F. Aursnes,Norway,1090,MID,"Michael Oliver, England",0.124,0.1221,neutro,0.0019,0,media-baja,media
1489416,180937,H. Falchener,Norway,1090,DEF,"Michael Oliver, England",0.124,0.1184,bajar,0.0056,0,media-baja,media
1489416,18967,L. Østigård,Norway,1090,DEF,"Michael Oliver, England",0.2047,0.1986,bajar,0.0061,0,media-baja,media
1489416,39058,F. Bjørkan,Norway,1090,DEF,"Michael Oliver, England",0.0751,0.0717,bajar,0.0034,0,media-baja,media
1489416,39143,K. Thorstvedt,Norway,1090,MID,"Michael Oliver, England",0.3074,0.3028,neutro,0.0046,0,media-baja,media
1489416,39064,P. Berg,Norway,1090,MID,"Michael Oliver, England",0.2442,0.2442,neutro,0.0,1,media-baja,media
1489416,278133,Oscar Bobb,Norway,1090,MID,"Michael Oliver, England",0.0357,0.0352,neutro,0.0005,0,media-baja,media
1489416,277930,T. Aasgaard,Norway,1090,MID,"Michael Oliver, England",0.0691,0.0681,neutro,0.001,0,media-baja,media
1489416,301528,A. Schjelderup,Norway,1090,FWD,"Michael Oliver, England",0.0596,0.0551,bajar,0.0045,0,media-baja,media
1489416,2032,J. Strand Larsen,Norway,1090,FWD,"Michael Oliver, England",0.2522,0.2333,bajar,0.0189,0,media-baja,media
1489416,22221,M. Maignan,France,2,GK,"Michael Oliver, England",0.0583,0.0583,neutro,0.0,0,media-baja,baja
1489416,1257,J. Koundé,France,2,DEF,"Michael Oliver, England",0.0181,0.0175,bajar,0.0006,0,media-baja,media
1489416,1149,D. Upamecano,France,2,DEF,"Michael Oliver, England",0.0785,0.0773,neutro,0.0012,0,media-baja,media
1489416,20995,M. Lacroix,France,2,DEF,"Michael Oliver, England",0.1344,0.1344,neutro,0.0,0,media-baja,media
1489416,47300,T. Hernández,France,2,DEF,"Michael Oliver, England",0.1344,0.1344,neutro,0.0,0,media-baja,media
1489416,1271,A. Tchouaméni,France,2,MID,"Michael Oliver, England",0.3254,0.3352,subir,0.0098,1,media-baja,media
1489416,22147,M. Koné,France,2,MID,"Michael Oliver, England",0.34,0.3502,subir,0.0102,0,media-baja,media
1489416,153,O. Dembélé,France,2,MID,"Michael Oliver, England",0.1038,0.1007,bajar,0.0031,0,media-baja,media
1489416,19617,M. Olise,France,2,MID,"Michael Oliver, England",0.0346,0.0356,subir,0.001,0,media-baja,media
1489416,343027,D. Doué,France,2,FWD,"Michael Oliver, England",0.0824,0.077,bajar,0.0054,0,media-baja,media
1489416,278,Kylian Mbappé,France,2,FWD,"Michael Oliver, England",0.2261,0.2058,bajar,0.0203,0,media-baja,media
1489417,429,F. Muslera,Uruguay,7,GK,I. Elfath,0.2023,0.2028,neutro,0.0005,0,media-baja,baja
1489417,1290,G. Varela,Uruguay,7,DEF,I. Elfath,0.501,0.5098,neutro,0.0088,1,media-baja,baja
1489417,51535,S. Cáceres,Uruguay,7,DEF,I. Elfath,0.0912,0.0928,neutro,0.0016,0,media-baja,baja
1489417,47254,M. Olivera,Uruguay,7,DEF,I. Elfath,0.0597,0.0607,neutro,0.001,0,media-baja,baja
1489417,162891,J. Sanabria,Uruguay,7,DEF,I. Elfath,0.1268,0.129,neutro,0.0022,1,media-baja,baja
1489417,863,R. Bentancur,Uruguay,7,MID,I. Elfath,0.333,0.3488,subir,0.0158,0,media-baja,baja
1489417,51494,M. Ugarte,Uruguay,7,MID,I. Elfath,0.1901,0.1925,neutro,0.0024,0,media-baja,media
1489417,51603,A. Canobbio,Uruguay,7,MID,I. Elfath,0.1726,0.1868,subir,0.0142,1,media-baja,media
1489417,756,F. Valverde,Uruguay,7,MID,I. Elfath,0.0662,0.0684,subir,0.0022,0,media-baja,baja
1489417,51776,M. Araújo,Uruguay,7,MID,I. Elfath,0.1443,0.149,subir,0.0047,0,media-baja,baja
1489417,51617,D. Núñez,Uruguay,7,FWD,I. Elfath,0.1576,0.1556,neutro,0.002,0,media-baja,baja
1489417,47270,Unai Simón,Spain,9,GK,I. Elfath,0.1862,0.1806,bajar,0.0056,0,media-baja,baja
1489417,753,Marcos Llorente,Spain,9,MID,I. Elfath,0.1183,0.1183,neutro,0.0,0,media-baja,media
1489417,396623,Pau Cubarsí Paredes,Spain,9,DEF,I. Elfath,0.0719,0.0697,bajar,0.0022,0,media-baja,media
1489417,622,Aymeric Laporte,Spain,9,DEF,I. Elfath,0.1268,0.1211,bajar,0.0057,0,media-baja,media
1489417,47380,Marc Cucurella,Spain,9,DEF,I. Elfath,0.0274,0.0266,bajar,0.0008,0,media-baja,media
1489417,133609,Pedri,Spain,9,MID,I. Elfath,0.0427,0.0401,bajar,0.0026,0,media-baja,media
1489417,44,Rodri,Spain,9,MID,I. Elfath,0.4195,0.4195,neutro,0.0,0,media-baja,media
1489417,47311,Mikel Merino,Spain,9,MID,I. Elfath,0.1549,0.1495,bajar,0.0054,0,media-baja,media
1489417,386828,Lamine Yamal,Spain,9,MID,I. Elfath,0.2883,0.2782,bajar,0.0101,0,media-baja,media
1489417,47323,Mikel Oyarzabal,Spain,9,FWD,I. Elfath,0.2234,0.1966,bajar,0.0268,0,media-baja,media
1489417,182219,Álex Baena,Spain,9,MID,I. Elfath,0.3911,0.3911,neutro,0.0,1,media-baja,media
1489413,15304,Vózinha,Cape Verde Islands,1533,GK,F. Letexier,0.0575,0.0575,neutro,0.0,0,baja,baja
1489413,332056,Wagner Pina,Cape Verde Islands,1533,DEF,F. Letexier,0.2495,0.2495,neutro,0.0,1,media-baja,baja
1489413,41608,Diney Borges,Cape Verde Islands,1533,DEF,F. Letexier,0.2314,0.2395,subir,0.0081,0,media-baja,media
1489413,69260,Pico,Cape Verde Islands,1533,DEF,F. Letexier,0.1144,0.1144,neutro,0.0,0,media-baja,baja
1489413,142016,João Paulo,Cape Verde Islands,1533,MID,F. Letexier,0.066,0.068,subir,0.002,0,media-baja,baja
1489413,96512,Kevin Pina,Cape Verde Islands,1533,MID,F. Letexier,0.2362,0.2516,subir,0.0154,0,media-baja,media
1489413,37435,Deroy Duarte,Cape Verde Islands,1533,MID,F. Letexier,0.0629,0.0638,neutro,0.0009,0,media-baja,baja
1489413,50270,Ryan Mendes,Cape Verde Islands,1533,MID,F. Letexier,0.2978,0.2963,neutro,0.0015,0,media-baja,media
1489413,50745,Jamiro Monteiro,Cape Verde Islands,1533,MID,F. Letexier,0.1056,0.1051,neutro,0.0005,0,media-baja,media
1489413,113580,Willy Semedo,Cape Verde Islands,1533,FWD,F. Letexier,0.1793,0.1712,bajar,0.0081,0,media-baja,baja
1489413,343287,D. Livramento,Cape Verde Islands,1533,FWD,F. Letexier,0.2545,0.243,bajar,0.0115,0,media-baja,baja
1489413,44411,Mohammed Al Owais,Saudi Arabia,23,GK,F. Letexier,0.0787,0.0801,neutro,0.0014,0,baja,baja
1489413,134995,Nawaf Boushal,Saudi Arabia,23,DEF,F. Letexier,0.1012,0.1015,neutro,0.0003,0,media-baja,baja
1489413,44475,Abdulelah Al Amri,Saudi Arabia,23,DEF,F. Letexier,0.0923,0.0925,neutro,0.0002,0,media-baja,baja
1489413,44362,Hassan Tambakti,Saudi Arabia,23,DEF,F. Letexier,0.2223,0.2184,neutro,0.0039,0,media-baja,media
1489413,44339,Nasser Al Dawsari,Saudi Arabia,23,MID,F. Letexier,0.0859,0.093,subir,0.0071,1,media-baja,media
1489413,44594,Saud Abdulhamid,Saudi Arabia,23,DEF,F. Letexier,0.0923,0.0939,neutro,0.0016,1,media-baja,baja
